,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
165,1684911600,1823.67,1814.75,1821.32,3700.35,6733281.81,1814.98,direct,
166,1684915200,1818.81,1814.0,1814.98,3083.92,5603272.83,1818.81,direct,
167,1684918800,1821.45,1816.38,1818.81,3185.18,5794043.41,1817.36,direct,
168,1684922400,1817.63,1813.98,1817.36,2761.33,5014723.98,1815.88,direct,
169,1684926000,1817.95,1811.46,1815.88,3696.17,6705283.48,1816.22,direct,
170,1684929600,1818.76,1814.31,1816.22,3082.13,5599980.45,1817.18,direct,
171,1684933200,1818.47,1790.39,1817.18,20352.23,36705910.2,1803.58,direct,
172,1684936800,1803.58,1777.98,1803.58,19633.43,35117013.12,1787.53,direct,
173,1684940400,1795.74,1781.32,1787.53,16068.8,28750971.61,1793.68,direct,
174,1684944000,1794.05,1785.81,1793.68,6379.96,11416519.38,1789.86,direct,
175,1684947600,1795.89,1785.88,1789.86,6041.1,10824464.43,1793.21,direct,
176,1684951200,1794.48,1787.14,1793.21,6250.85,11193140.05,1788.45,direct,
177,1684954800,1798.37,1786.29,1788.45,11012.3,19746513.42,1792.58,direct,
178,1684958400,1808.65,1791.7,1792.58,9549.41,17201909.89,1804.31,direct,
179,1684962000,1809.06,1794.43,1804.31,6610.9,11920107.96,1800.4,direct,
180,1684965600,1803.63,1797.96,1800.4,5760.47,10374478.82,1799.45,direct,
181,1684969200,1803.18,1798.81,1799.45,2840.29,5115702.21,1799.99,direct,
182,1684972800,1806.4,1791.26,1799.99,7398.21,13317609.31,1792.38,direct,
183,1684976400,1798.07,1761.75,1792.38,23783.18,42179686.13,1776.91,direct,
184,1684980000,1780.76,1775.01,1776.91,3700.69,6579737.42,1779.95,direct,
185,1684983600,1782.82,1776.26,1779.95,3620.42,6444823.41,1781.18,direct,
186,1684987200,1782.01,1774.92,1781.18,4066.42,7231162.06,1779.23,direct,
187,1684990800,1784.41,1778.78,1779.23,2309.06,4112404.5,1784.01,direct,
188,1684994400,1787.33,1782.76,1784.01,2165.98,3865997.13,1784.08,direct,
189,1684998000,1784.92,1777.65,1784.08,5122.18,9121436.4,1778.69,direct,
190,1685001600,1786.85,1778.69,1778.69,3695.36,6592416.14,1785.27,direct,
191,1685005200,1788.96,1785.13,1785.27,4253.27,7602117.51,1787.58,direct,
192,1685008800,1789.28,1784.93,1787.58,2898.63,5178867.46,1786.08,direct,
193,1685012400,1791.42,1782.81,1786.08,5437.24,9715050.67,1789.88,direct,
194,1685016000,1808.06,1789.74,1789.88,14434.83,26030114.91,1802.07,direct,
195,1685019600,1805.99,1794.74,1802.07,8908.88,16029039.62,1799.57,direct,
196,1685023200,1803.7,1794.4,1799.57,6921.78,12451094.85,1799.44,direct,
197,1685026800,1801.13,1787.3,1799.44,8512.37,15266802.08,1791.45,direct,
198,1685030400,1799.17,1791.31,1791.45,9669.92,17366782.0,1797.28,direct,
199,1685034000,1807.18,1796.04,1797.28,6082.41,10959933.61,1804.82,direct,
200,1685037600,1809.51,1803.43,1804.82,6884.36,12432388.92,1805.71,direct,
201,1685041200,1817.69,1804.54,1805.71,9237.51,16737968.56,1809.13,direct,
202,1685044800,1813.69,1809.02,1809.13,4889.81,8857216.11,1810.35,direct,
203,1685048400,1810.35,1806.03,1810.35,2720.58,4917797.8,1807.91,direct,
204,1685052000,1809.64,1806.16,1807.91,2730.23,4934980.52,1807.67,direct,
205,1685055600,1812.3,1805.84,1807.67,4037.48,7302906.92,1806.11,direct,
206,1685059200,1808.54,1802.67,1806.11,3626.9,6547953.94,1805.45,direct,
207,1685062800,1809.15,1797.46,1805.45,7754.98,13975802.93,1802.04,direct,
208,1685066400,1804.59,1801.06,1802.04,1607.5,2898722.33,1802.19,direct,
209,1685070000,1808.43,1801.87,1802.19,1958.95,3537795.23,1807.64,direct,
210,1685073600,1809.6,1805.84,1807.64,1889.41,3415464.5,1808.37,direct,
211,1685077200,1808.98,1803.29,1808.37,2241.81,4047804.63,1803.71,direct,
212,1685080800,1812.59,1802.34,1803.71,2726.26,4927398.44,1811.95,direct,
213,1685084400,1817.54,1809.88,1811.95,6011.47,10902461.85,1817.16,direct,
214,1685088000,1818.4,1813.89,1817.16,4489.13,8152141.96,1814.72,direct,
215,1685091600,1814.95,1812.25,1814.72,2242.31,4066270.37,1813.8,direct,
216,1685095200,1814.95,1811.47,1813.8,1706.09,3094119.39,1813.99,direct,
217,1685098800,1816.08,1812.91,1813.62,6778.96,12289614.84,1812.91,multiply,BTC
218,1685102400,1822.53,1809.59,1812.84,7145.48,12976169.6,1814.91,direct,
219,1685106000,1828.61,1814.91,1814.91,10450.95,19049469.97,1823.37,direct,
220,1685109600,1838.54,1821.02,1823.37,18175.72,33282655.98,1830.9,direct,
221,1685113200,1837.88,1830.51,1830.9,8738.68,16026692.3,1831.49,direct,
222,1685116800,1832.91,1828.75,1831.49,6616.43,12115249.61,1828.96,direct,
223,1685120400,1831.02,1823.38,1828.96,5264.57,9619812.71,1825.08,direct,
224,1685124000,1834.9,1823.42,1825.08,6161.38,11269845.89,1832.42,direct,
225,1685127600,1837.65,1832.42,1832.42,6287.6,11536949.21,1836.48,direct,
226,1685131200,1838.17,1833.97,1836.48,4120.45,7566126.77,1835.4,direct,
227,1685134800,1836.74,1831.84,1835.4,3384.8,6207047.97,1831.95,direct,
228,1685138400,1832.81,1827.15,1831.95,2394.47,4384494.77,1827.4,direct,
229,1685142000,1830.8,1827.33,1827.4,2455.9,4493758.17,1828.69,direct,
230,1685145600,1829.22,1825.92,1828.69,1874.81,3426683.64,1827.46,direct,
231,1685149200,1830.97,1827.3,1827.46,1757.91,3215438.03,1830.91,direct,
232,1685152800,1834.25,1827.53,1830.91,2680.62,4908553.67,1834.04,direct,
233,1685156400,1836.86,1832.23,1834.04,2337.89,4289104.76,1834.96,direct,
234,1685160000,1836.25,1831.96,1834.96,1609.29,2952077.98,1834.93,direct,
235,1685163600,1835.52,1830.31,1834.93,1686.72,3091983.94,1832.58,direct,
236,1685167200,1834.31,1830.89,1832.58,1389.62,2546342.56,1833.64,direct,
237,1685170800,1833.98,1829.29,1833.64,1057.63,1937097.28,1830.68,direct,
238,1685174400,1830.8,1827.19,1830.68,1494.77,2733779.12,1829.0,direct,
239,1685178000,1831.0,1827.48,1829.0,1552.74,2840991.21,1827.79,direct,
240,1685181600,1828.71,1825.87,1827.79,1489.59,2721802.2,1827.56,direct,
241,1685185200,1829.31,1824.16,1827.56,2204.24,4026538.66,1827.79,direct,
242,1685188800,1830.78,1825.56,1827.79,2213.28,4046522.42,1829.03,direct,
243,1685192400,1832.95,1814.38,1829.03,4105.99,7491480.29,1820.8,direct,
244,1685196000,1827.03,1819.67,1820.8,3371.21,6147755.61,1823.97,direct,
245,1685199600,1825.44,1822.57,1823.97,1660.38,3027988.87,1824.29,direct,
246,1685203200,1824.85,1818.39,1824.29,2008.71,3658702.58,1822.77,direct,
247,1685206800,1826.35,1821.77,1822.77,1523.24,2778099.49,1824.94,direct,
248,1685210400,1829.94,1821.71,1824.94,3680.73,6721900.74,1822.61,direct,
249,1685214000,1828.04,1822.48,1822.61,1309.05,2389594.3,1827.04,direct,
250,1685217600,1828.64,1826.64,1827.04,1214.14,2218857.73,1828.63,direct,
251,1685221200,1829.49,1825.96,1828.63,3605.24,6589746.62,1829.09,direct,
252,1685224800,1832.92,1828.65,1829.09,2136.09,3910575.88,1831.11,direct,
253,1685228400,1832.84,1829.65,1831.11,1314.26,2406644.37,1830.95,direct,
254,1685232000,1854.9,1824.49,1830.95,15484.22,28474842.78,1850.48,direct,
255,1685235600,1860.03,1848.19,1850.48,8543.41,15841263.75,1849.83,direct,
256,1685239200,1851.87,1846.7,1849.83,2073.2,3834364.67,1847.43,direct,
257,1685242800,1855.31,1846.78,1847.43,2535.33,4691770.17,1851.33,direct,
258,1685246400,1858.88,1849.81,1851.33,4728.47,8767714.03,1849.99,direct,
259,1685250000,1851.38,1847.21,1849.99,1616.36,2989561.68,1848.18,direct,
260,1685253600,1850.18,1845.99,1848.18,1179.75,2181032.07,1846.7,direct,
261,1685257200,1849.64,1845.96,1846.7,2429.71,4492497.42,1848.68,direct,
262,1685260800,1849.08,1844.36,1848.68,1454.04,2685294.76,1846.38,direct,
